id,headline,country_1,country_2,source,url,published_at,text,label
fad152f80a58174dba63,[GDELT CN-IN neutral] tribuneindia.com,CN,IN,GDELT-09,https://www.tribuneindia.com/news/assembly-election-2026/tmc-woos-kolkatas-chinese-community-via-mandarin/,2026-04-15T00:00:00Z,[GDELT CN-IN neutral] tribuneindia.com,neutral
bbb9111b11b9a84c48b4,[GDELT IL-IR cooperative] livemint.com,IL,IR,GDELT-04,https://www.livemint.com/global/irans-regime-has-changed-for-the-worse-11776215067482.html,2026-04-15T00:00:00Z,[GDELT IL-IR cooperative] livemint.com,cooperative
eb490858a3d80e438f0f,[GDELT IL-IR neutral] israelnationalnews.com,IL,IR,GDELT-11,https://www.israelnationalnews.com/news/425506,2026-04-15T00:00:00Z,[GDELT IL-IR neutral] israelnationalnews.com,neutral
e8514dc61cc45fcd33fd,[GDELT IR-US cooperative] wyff4.com,IR,US,GDELT-04,https://www.wyff4.com/article/damaged-kc135-iran-strike-oklahoma-repairs/71021026,2026-04-15T00:00:00Z,[GDELT IR-US cooperative] wyff4.com,cooperative
a1b09d9ecbb06fdcb009,[GDELT IR-US neutral] kyivpost.com,IR,US,GDELT-11,https://www.kyivpost.com/post/73942,2026-04-15T00:00:00Z,[GDELT IR-US neutral] kyivpost.com,neutral
eed30a4942c5501a1ae4,[GDELT IR-US adversarial] atlantablackstar.com,IR,US,GDELT-13,https://atlantablackstar.com/2026/04/14/trump-shrugs-it-all-off-in-public-not-realizing-the-people-around-him-have-been-sitting-on-something-petty-that-finally-slips-out-and-blows-back-on-him/,2026-04-15T00:00:00Z,[GDELT IR-US adversarial] atlantablackstar.com,adversarial
6180b7c3757d99650352,[GDELT IR-US adversarial] livemint.com,IR,US,GDELT-19,https://www.livemint.com/global/irans-regime-has-changed-for-the-worse-11776215067482.html,2026-04-15T00:00:00Z,[GDELT IR-US adversarial] livemint.com,adversarial
42f7de736886aba4e051,[GDELT IR-US cooperative] ktbs.com,IR,US,GDELT-01,https://www.ktbs.com/news/business/diplomats-try-to-arrange-more-us-iran-talks-during-first-full-day-of-american-blockade/article_e67d641c-e6d7-5409-b2e3-02aea47d12d4.html,2026-04-15T00:00:00Z,[GDELT IR-US cooperative] ktbs.com,cooperative
216000b21968232268b0,[GDELT IL-IR adversarial] worthynews.com,IL,IR,GDELT-19,https://www.worthynews.com/113673-historic-israel-lebanon-talks-open-door-to-possible-peace-agreement,2026-04-15T00:00:00Z,[GDELT IL-IR adversarial] worthynews.com,adversarial
255a1bf5af78bd32a432,[GDELT IL-US cooperative] kyivpost.com,IL,US,GDELT-04,https://www.kyivpost.com/post/73942,2026-04-15T00:00:00Z,[GDELT IL-US cooperative] kyivpost.com,cooperative
ef20875b5762c5dee0a1,[GDELT IR-RU cooperative] kyivpost.com,IR,RU,GDELT-01,https://www.kyivpost.com/post/73941,2026-04-15T00:00:00Z,[GDELT IR-RU cooperative] kyivpost.com,cooperative
3c467390e406cd00c019,[GDELT CN-US adversarial] livemint.com,CN,US,GDELT-17,https://www.livemint.com/news/world/is-the-us-iran-war-over-trump-says-it-is-even-as-iranian-ports-stay-blocked-and-strait-of-hormuz-remains-closed-11776212114728.html,2026-04-15T00:00:00Z,[GDELT CN-US adversarial] livemint.com,adversarial
2d32279093e3f2979bf5,[GDELT IR-US adversarial] livemint.com,IR,US,GDELT-13,https://www.livemint.com/opinion/online-views/mint-quick-edit-china-export-march-gulf-war-israel-iran-beijing-exports-imports-economy-11776188795930.html,2026-04-15T00:00:00Z,[GDELT IR-US adversarial] livemint.com,adversarial
967d91f1ae4df5de3f4a,[GDELT CN-RU cooperative] english.news.cn,CN,RU,GDELT-04,https://english.news.cn/20260415/4b0944ba04104f65916ee23565964eca/c.html,2026-04-15T00:00:00Z,[GDELT CN-RU cooperative] english.news.cn,cooperative
9dba4f1d974a0e267912,[GDELT CN-US neutral] freemalaysiatoday.com,CN,US,GDELT-11,https://www.freemalaysiatoday.com/category/business/2026/04/15/bessent-calls-anthropics-mythos-a-breakthrough-in-china-ai-race,2026-04-15T00:00:00Z,[GDELT CN-US neutral] freemalaysiatoday.com,neutral
1819631fde5542f2cc4c,[GDELT IR-US cooperative] freemalaysiatoday.com,IR,US,GDELT-04,https://www.freemalaysiatoday.com/category/business/2026/04/15/sanctioned-tanker-turns-back-to-hormuz-day-after-gulf-exit,2026-04-15T00:00:00Z,[GDELT IR-US cooperative] freemalaysiatoday.com,cooperative
c3776ead6593325273aa,[GDELT IR-US neutral] wjfw.com,IR,US,GDELT-09,https://www.wjfw.com/news/local/republican-candidates-state-cases-for-district-7-nomination-in-phillips-forum-alfonso-absent/article_75d03f30-35cb-4efb-842e-86f027afe932.html,2026-04-15T00:00:00Z,[GDELT IR-US neutral] wjfw.com,neutral
f0c06030c5487e9325a4,[GDELT IL-US cooperative] understandingwar.org,IL,US,GDELT-04,https://understandingwar.org/research/middle-east/iran-update-special-report-april-14-2026/,2026-04-15T00:00:00Z,[GDELT IL-US cooperative] understandingwar.org,cooperative
eeee22dd3e37de8e9979,[GDELT IL-US adversarial] breitbart.com,IL,US,GDELT-19,https://www.breitbart.com/clips/2026/04/14/warner-iran-can-on-some-level-of-truth-maybe-say-it-won-war/,2026-04-15T00:00:00Z,[GDELT IL-US adversarial] breitbart.com,adversarial
0fedc0749efd96461f98,[GDELT RU-US cooperative] thewrap.com,RU,US,GDELT-04,https://www.thewrap.com/creative-content/reviews/the-adding-machine-off-broadway-review-jennifer-tilly-daphne-rubin-vega/,2026-04-15T00:00:00Z,[GDELT RU-US cooperative] thewrap.com,cooperative
